NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1990-08-01 00:00:00;;1018.5;18.6;5.2;24.1;13.7;16.2;38;6;255;0;31;31;31;31;31;10;6;1;0;;;5;;;;;;;;23;0;0;0;2;5;28;1990-08-03 00:00:00;13.9;1990-08-07 00:00:00;35.6;1990-08-03 00:00:00;7.1;1990-08-08 00:00:00;9.6;1990-08-16 00:00:00;17;1990-08-16 00:00:00;;;6;18
07015;1990-08-01 00:00:00;;1019;19.9;5.4;25.9;14.3;13.3;63;7;272;0;31;31;31;31;31;18;8;2;0;;;4;1;0;;;;;;19;0;0;0;0;5;27.8;1990-08-03 00:00:00;15;1990-08-17 00:00:00;36;1990-08-04 00:00:00;8.6;1990-08-08 00:00:00;35;1990-08-25 00:00:00;18;1990-08-16 00:00:00;2;0;6;18
07020;1990-08-01 00:00:00;;1019.1;18.2;2.4;21.2;15.1;17.1;14;4;;0;0;31;0;31;0;;;;;;;0;;;;;;;;12;0;0;1;1;4;24.8;1990-08-02 00:00:00;17;1990-08-09 00:00:00;31.4;1990-08-02 00:00:00;13;1990-08-12 00:00:00;4.6;1990-08-14 00:00:00;18;1990-08-15 00:00:00;;;6;18
07027;1990-08-01 00:00:00;;1019.7;18.8;5;25.2;13.4;16.3;22;6;278;0;0;31;0;31;31;;;;0;;;2;;;;;;;;28;2;0;0;0;3;25.5;1990-08-02 00:00:00;15;1990-08-31 00:00:00;35;1990-08-03 00:00:00;9.7;1990-08-09 00:00:00;7.2;1990-08-29 00:00:00;23;1990-08-15 00:00:00;1;0;6;18
07037;1990-08-01 00:00:00;1000.9;1019.2;19;5.7;25.5;13.4;14.3;34;5;257;31;31;31;31;31;31;15;7;1;0;;;3;1;0;;;;;;21;0;0;0;0;3;27.6;1990-08-03 00:00:00;13.5;1990-08-31 00:00:00;35.4;1990-08-03 00:00:00;7.9;1990-08-07 00:00:00;12.6;1990-08-15 00:00:00;18;1990-08-16 00:00:00;4;0;6;18
07110;1990-08-01 00:00:00;1008.6;1020.8;18.1;;;;16.7;23;7;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07149;1990-08-01 00:00:00;1009;1019.4;21.9;5.5;27.8;16;15.3;9;4;;31;31;31;31;31;0;20;11;2;0;;;0;;;;;;;;21;1;0;;;;29.5;1990-08-03 00:00:00;15.7;1990-08-17 00:00:00;37.4;1990-08-04 00:00:00;9.5;1990-08-17 00:00:00;3.3;1990-08-29 00:00:00;20;1990-08-29 00:00:00;7;0;6;18
07190;1990-08-01 00:00:00;1001.2;1019.2;20.1;5.6;26.8;13.9;15.8;100;9;265;0;0;31;0;31;31;;;;0;;;5;3;1;;;;;;16;2;0;;;;25.4;1990-08-02 00:00:00;15.4;1990-08-31 00:00:00;35.6;;;;53.6;1990-08-13 00:00:00;25;1990-08-13 00:00:00;8;2;6;18
07207;1990-08-01 00:00:00;;1020.7;19.7;3.3;23.4;16.4;19.4;8;2;305;0;31;31;31;31;31;7;1;;;;;0;;;;;;;;23;0;0;;;;26.6;1990-08-02 00:00:00;17;1990-08-30 00:00:00;32.2;1990-08-02 00:00:00;13;1990-08-07 00:00:00;3.5;1990-08-15 00:00:00;19;1990-08-16 00:00:00;1;0;6;18
07222;1990-08-01 00:00:00;1016.8;1020;21.4;;;;15.8;7;2;298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
